Date,Open,High,Low,Close,Volume
Today-751,21.3,21.86,21.1,21.14,7235400
Today-752,21.83,22.41,21.16,21.41,12190400
Today-753,22.48,23.42,21.99,21.99,9016700
Today-754,22.8,22.98,22.37,22.43,7915900
Today-755,22.29,23.14,22.2,22.89,10178700
Today-756,23.4,23.54,22.76,23.05,6712500
Today-757,24.02,24.24,23.4,23.55,8114000
Today-758,25.08,25.14,24.24,24.32,8172800
Today-759,24.82,25.39,24.7,25.22,10040900
Today-760,26.11,26.11,24.52,24.9,12626000
Today-761,25.8,26.68,25.54,26.31,8054600
Today-762,25.97,26.11,24.5,25.65,6867100
Today-763,25.48,26.08,25.39,25.84,8275800
Today-764,25.06,25.73,24.85,25.49,6405800
Today-765,25.73,25.93,25.08,25.18,5437900
Today-766,25.87,26.37,25.16,25.37,7942900
Today-767,27.25,27.29,26,26.06,5549100
Today-768,26.43,27.3,26.34,27.11,6119600
Today-769,26.54,27.09,25.85,25.93,8343300
Today-770,26.36,26.74,26.21,26.47,4702100
Today-771,26.33,27.09,26.05,26.61,7163200
Today-772,25.73,27,25.25,26.56,9990000
Today-773,27.29,27.43,26,26.11,8379700
Today-774,27.15,28.06,26.83,27.08,10360400
Today-775,27.64,27.96,26.86,27.08,7181800
Today-776,25.63,27.86,25.37,27.55,12218600
Today-777,24.96,25.7,24.79,25.45,8734600
Today-778,24.95,25.69,24.75,25.15,9898200
Today-779,26.55,26.7,24.84,25.3,18377200
Today-780,25.9,26.48,24.71,25.89,12736400
Today-781,27.48,28.15,25.55,25.62,10663700
Today-782,25.79,26.92,25.52,26.75,8956800
Today-783,25.93,28.17,24.29,25.45,16835200
Today-784,26.15,27.48,26,26.97,9248100
Today-785,27.61,28.19,27.3,27.74,8356600
Today-786,28.61,29.2,27.35,27.43,9050000
Today-787,28.15,28.73,27.27,28.03,12353400
Today-788,30.1,30.95,28.2,29.08,13077700
Today-789,29.26,30.64,29.01,30.48,11593000
Today-790,28.09,28.87,27.92,28.58,7836300
Today-791,28.49,28.73,27.64,28.32,10835700
Today-792,29.25,29.71,27.41,28.98,13091600
Today-793,30.71,30.85,29.33,29.35,9458000
Today-794,30.41,30.88,29.63,30.56,10108800
Today-795,31.88,31.88,30.22,30.42,8946900
Today-796,33.4,33.46,32.15,32.29,7674200
Today-797,33.08,33.73,32.87,33.17,7493700
Today-798,33.26,33.47,32.74,33.17,6067700
Today-799,34.05,34.05,33.15,33.54,5694900
Today-800,34.81,35.08,33.79,33.85,6047500
Today-801,35.62,35.64,34.63,35.1,4835600
Today-802,35.55,35.68,35.12,35.36,2415700
Today-803,36.52,36.54,34.93,35.67,7658800
Today-804,35.46,36.29,35.3,36.09,8027100
Today-805,35.12,35.85,34.75,35.3,8064800
Today-806,36.09,36.15,34.6,35.35,6580000
Today-807,35.99,36.66,35.75,35.84,5638500
Today-808,36.96,37.4,36.15,36.34,6734500
Today-809,38,38.69,37,37.44,6268700
Today-810,38.75,39.13,37.65,38.4,7529600
Today-811,39,39.34,37.86,38.13,7585200
Today-812,38.65,39.17,38.01,39.08,5592600
Today-813,39.04,39.24,37.83,38.65,6680800
Today-814,37.8,39.63,37.5,39.36,9578200
Today-815,37.25,38.5,37.11,37.95,6229100
Today-816,37.61,37.68,36.65,36.97,6276700
Today-817,37.6,38.46,37.56,37.91,5210800
Today-818,38.25,38.49,37.25,37.44,6683600
Today-819,38.08,38.38,37.45,38.1,5013300
Today-820,37.77,38.85,37.3,38.16,8625200
Today-821,35.63,37.78,35.45,37.25,9238800
Today-822,36.16,36.78,35.18,35.25,5430000
Today-823,36.25,36.58,35.4,36.11,2512000
Today-824,35.31,36.75,34.43,36.19,8108800
Today-825,36.47,36.98,34.68,35.89,7655600
Today-826,37.35,37.42,35.76,36.19,6042900
Today-827,37.43,37.59,36.6,37.36,6464400
Today-828,37.49,38.3,37.03,37.27,8529300
Today-829,39.72,39.75,37.92,38.04,7541100
Today-830,37.92,39.18,37.92,39.16,7942300
Today-831,38.86,39.15,37.36,37.6,7337900
Today-832,38.12,39.92,38,38.95,7995900
Today-833,40.48,40.87,38.23,39.05,13146600
Today-834,40.95,41.86,40.56,40.67,6409100
Today-835,42.36,42.4,41.03,41.36,8179000
Today-836,44,44,41.25,41.99,12900600
Today-837,44,44.59,43.26,44.43,7164000
Today-838,43.9,45.49,43.7,43.89,10330200
Today-839,44.25,44.69,43.37,44.4,9771700
Today-840,43.06,44.08,42.5,43.76,9595800
Today-841,41.93,43.08,41.67,43.01,10358100
Today-842,40.71,41.88,40.21,41.02,12983000
Today-843,41.93,42.3,39.76,40.12,14188700
Today-844,42.98,42.98,40.94,41.82,15182300
Today-845,44.93,45,42.54,43.46,13844300
Today-846,43.47,45.16,43.2,44.11,19041100
Today-847,46.76,48,42.42,42.71,42654900
Today-848,49.46,50.48,48.56,50.31,14971000
Today-849,48.1,49.17,47.86,49.07,12942700
Today-850,47.82,48.07,46.86,47,13265500
Today-851,47.72,48.79,47.4,48.32,12232100
Today-852,48.74,49.5,47.25,47.4,13116800
Today-853,51.37,51.4,48.12,48.7,17498800
